time,facing_dot_north
5732645.54199759,8.2282196587009E-05
5732645.64199759,7.52443441539049E-05
5732645.74199758,6.01883426446165E-05
5732645.84199758,2.21215052963072E-05
5732645.94199758,-2.38042525007772E-05
5732646.04199758,-9.01999406782073E-05
5732646.14199758,-0.000144862894168681
5732646.24199757,-0.00021555904430072
5732646.34199757,-0.000292669366091119
5732646.44199757,-0.000352343297059957
5732646.54199757,-0.000427457996740091
5732646.64199756,-0.000468813109128442
5732646.74199756,-0.000517398714858543
5732646.84199756,-0.000544680405033988
5732646.94199756,-0.000555842980519025
5732647.04199756,-0.000567328860928251
5732647.14199755,-0.000561036073965171
5732647.24199755,-0.000549103618338307
5732647.34199755,-0.000518104679074111
5732647.44199755,-0.000506503307115101
5732647.54199754,-0.000490282258563609
5732647.64199754,-0.000494243257191361
5732647.74199754,-0.000487846739332388
5732647.84199754,-0.000508803262444284
5732647.94199754,-0.000551879090879251
5732648.04199753,-0.000605730668025698
5732648.14199753,-0.000669080248526413
5732648.24199753,-0.00073871343193308
5732648.34199753,-0.000822983584894385
5732648.44199752,-0.000939571962247998
5732648.54199752,-0.00103030847896639
5732648.64199752,-0.00110094914419722
5732648.74199752,-0.00120780165428793
5732648.84199752,-0.00125178085336066
5732648.94199751,-0.0012934928676397
5732649.04199751,-0.00133549839682451
5732649.14199751,-0.00131985446790276
5732649.24199751,-0.00127778101750642
5732649.3419975,-0.00124403020825301
5732649.4419975,-0.00115170840585519
5732649.5419975,-0.00110557467447113
5732649.6419975,-0.00101292807873588
5732649.7419975,-0.000928244241954942
5732649.84199749,-0.000865341865252791
5732649.94199749,-0.000810938226822458
5732650.04199749,-0.000779851484493521
5732650.14199749,-0.000789893598837689
5732650.24199748,-0.00081293563196286
5732650.34199748,-0.000892326734664102
5732650.44199748,-0.000962693626340944
5732650.54199748,-0.0010834916005977
5732650.64199748,-0.00120948981410507
5732650.74199747,-0.00134978116445847
5732650.84199747,-0.00145507843276195
5732650.94199747,-0.00157485102347587
5732651.04199747,-0.00168663918264776
5732651.14199746,-0.00173617178806415
5732651.24199746,-0.00177063557937602
5732651.34199746,-0.00177171858947255
5732651.44199746,-0.00173139927291243
5732651.54199746,-0.00166796358673053
5732651.64199745,-0.00159463630160667
5732651.74199745,-0.00152932658467525
5732651.84199745,-0.00139760358557861
5732651.94199745,-0.00132433920285639
5732652.04199744,-0.00121675948927603
5732652.14199744,-0.00119074059100961
5732652.24199744,-0.0011281700494381
5732652.34199744,-0.00110986887749893
5732652.44199743,-0.00112335686786351
5732652.54199743,-0.00121477333772537
5732652.64199743,-0.00125763687789
5732652.74199743,-0.00138613665110001
5732652.84199743,-0.00148843776759966
5732652.94199742,-0.00158805324755064
5732653.04199742,-0.00179473268600122
5732653.14199742,-0.00191177003870391
5732653.24199742,-0.00207107910722755
5732653.34199741,-0.00215009449546595
5732653.44199741,-0.00226168891196505
5732653.54199741,-0.00226218986637673
5732653.64199741,-0.00230510106435435
5732653.74199741,-0.00223690441103454
5732653.8419974,-0.00222641806586503
5732653.9419974,-0.00212428429366511
5732654.0419974,-0.00204152175079934
5732654.1419974,-0.00188588236265625
5732654.24199739,-0.00175186290436751
5732654.34199739,-0.00164378492333177
5732654.44199739,-0.00155466181045189
5732654.54199739,-0.00145566069104469
5732654.64199739,-0.00139127986281108
5732654.74199738,-0.00137391809183669
5732654.84199738,-0.00136541553717863
5732654.94199738,-0.00145231936091385
5732655.04199738,-0.00153326314017009
5732655.14199737,-0.00162644855981006
5732655.24199737,-0.00182647485367227
5732655.34199737,-0.00196992119783411
5732655.44199737,-0.00218213429572166
5732655.54199737,-0.00231092172488838
5732655.64199736,-0.00251281022149106
5732655.74199736,-0.00259775338807334
5732655.84199736,-0.00278548428346858
5732655.94199736,-0.00282369666252337
5732656.04199735,-0.00287251125530863
5732656.14199735,-0.00286106697315299
5732656.24199735,-0.00281392470951234
5732656.34199735,-0.00272634917218239
5732656.44199735,-0.00260747998313935
5732656.54199734,-0.00246416573998826
5732656.64199734,-0.00230686590767427
5732656.74199734,-0.0021463239064268
5732656.84199734,-0.00199344217621371
5732656.94199733,-0.00185945798098476
5732657.04199733,-0.00175416866543988
5732657.14199733,-0.00168544005287508
5732657.24199733,-0.00165933970012836
5732657.34199733,-0.00167848024410875
5732657.44199732,-0.00174407941160667
5732657.54199732,-0.00185338296484543
5732657.64199732,-0.00200082094192149
5732657.74199732,-0.00217813954444601
5732657.84199731,-0.00237652159709338
5732657.94199731,-0.00258382612096158
5732658.04199731,-0.00278831284985975
5732658.14199731,-0.00297766907805441
5732658.24199731,-0.00314143415804668
5732658.3419973,-0.00326859822831209
5732658.4419973,-0.00335308651644226
5732658.5419973,-0.00338967507913594
5732658.6419973,-0.00337557255910195
5732658.74199729,-0.00331315121314094
5732658.84199729,-0.00320598914851645
5732658.94199729,-0.00306283187377614
5732659.04199729,-0.00289093476583094
5732659.14199729,-0.00270487095139019
5732659.24199728,-0.00251539250639199
5732659.34199728,-0.0023359388373292
5732659.44199728,-0.00217934123552821
5732659.54199728,-0.00205782649173726
5732659.64199727,-0.00197911114953931
5732659.74199727,-0.00195072815196054
5732659.84199727,-0.00197618102955638
5732659.94199727,-0.00205579710643792
5732660.04199727,-0.00218588576062946
5732660.14199726,-0.00235973932030521
5732660.24199726,-0.00256864347100789
5732660.34199726,-0.00280027685598822
5732660.44199726,-0.00304119684947131
5732660.54199725,-0.00327797357887013
5732660.64199725,-0.00349601228443592
5732660.74199725,-0.00368220462267863
5732660.84199725,-0.00382535204083347
5732660.94199725,-0.00391739171876956
5732661.04199724,-0.00395192024873431
5732661.14199724,-0.0039279316746644
5732661.24199724,-0.00384708714751398
5732661.34199724,-0.00371443539016037
5732661.44199723,-0.00353949350673281
5732661.54199723,-0.00333389634806109
5732661.64199723,-0.00311109537397697
5732661.74199723,-0.00290081394748071
5732661.84199722,-0.00270280592262894
5732661.94199722,-0.00257095563541407
5732662.04199722,-0.00250590822433822
5732662.14199722,-0.00250843972105529
